,Times,X_mRNA_TetR,X_protein_TetR,X_mRNA_cI,X_protein_cI,X_mRNA_LacI,X_protein_LacI,Y_mRNA_TetR,Y_protein_TetR,Y_mRNA_cI,Y_protein_cI,Y_mRNA_LacI,Y_protein_LacI
0,0.2,-0.7453166256222503,-0.6905945128239117,-0.8110503385476466,-0.8591683732228127,-0.8030551281833159,-0.8573434681677211,-0.15142787190990392,-0.4993168664906552,-0.8144128231943676,-0.8626900217503843,0.18729187839476297,-0.6469751313850949
1,0.21,-0.7157592018142358,-0.6905945128239117,-0.8110503385476466,-0.8591683732228127,-0.7404013144843505,-0.8573434681677211,-0.21734014477572267,-0.4993168664906552,-0.8144128231943676,-0.8626900217503843,0.29581997368319474,-0.6206810187426145
2,0.22,-0.5730472872011717,-0.6905945128239117,-0.8110503385476466,-0.8591683732228127,-0.6777475007853851,-0.8573434681677211,-0.21734014477572267,-0.5266151518601722,-0.8144128231943676,-0.8626900217503843,0.26279041860146896,-0.5743678745643964
3,0.23,-0.35673229984519,-0.6905945128239117,-0.8110503385476466,-0.8591683732228127,-0.6777475007853851,-0.8573434681677211,-0.21734014477572267,-0.4993168664906552,-0.8144128231943676,-0.8626900217503843,0.2004077778771968,-0.5417986808151736
4,0.24,-0.3497719123912706,-0.6632939499600722,-0.8110503385476466,-0.8591683732228127,-0.6292579617319575,-0.8573434681677211,-0.21734014477572267,-0.4993168664906552,-0.8144128231943676,-0.8626900217503843,0.2454709972696017,-0.5417986808151736
5,0.25,-0.25292224228722116,-0.6632939499600722,-0.8110503385476466,-0.8591683732228127,-0.6150936870864198,-0.8573434681677211,-0.21734014477572267,-0.4993168664906552,-0.8144128231943676,-0.8626900217503843,0.26279041860146896,-0.5279183640673601
6,0.26,-0.15199955577578067,-0.6359933870962328,-0.8110503385476466,-0.8591683732228127,-0.489786059688489,-0.8485589184289533,-0.2832524176415414,-0.4993168664906552,-0.8144128231943676,-0.8626900217503843,0.3254189267314117,-0.4867939523833342
7,0.27,-0.15199955577578067,-0.6086928242323932,-0.8110503385476466,-0.8591683732228127,-0.489786059688489,-0.7953210764553854,-0.2832524176415414,-0.5119903280475868,-0.8144128231943676,-0.8626900217503843,0.3254189267314117,-0.48921045553021286
8,0.28,-0.15199955577578067,-0.5893601424290857,-0.8110503385476466,-0.8591683732228127,-0.42713224598952365,-0.7784607176644137,-0.2832524176415414,-0.5266151518601722,-0.8144128231943676,-0.8626900217503843,0.3254189267314117,-0.4754434562882525
9,0.29,-0.15199955577578067,-0.5924456969223367,-0.8110503385476466,-0.8591683732228127,-0.42713224598952365,-0.7784607176644137,-0.2832524176415414,-0.553913437229689,-0.8144128231943676,-0.8626900217503843,0.3254189267314117,-0.44364138397091113
10,0.3,-0.15199955577578067,-0.6046232641444923,-0.8110503385476466,-0.8591683732228127,-0.42713224598952365,-0.7784607176644137,-0.2832524176415414,-0.5266151518601722,-0.8144128231943676,-0.8626900217503843,0.3254189267314117,-0.49992409835929297
11,0.31,-0.15199955577578067,-0.6086928242323932,-0.8110503385476466,-0.8591683732228127,-0.3404386939083959,-0.7784607176644137,-0.2832524176415414,-0.4993168664906552,-0.8144128231943676,-0.8626900217503843,0.4379793717699505,-0.48921045553021286
12,0.32,-0.15199955577578067,-0.6136265147759665,-0.8110503385476466,-0.8591683732228127,-0.23917080489262751,-0.7784607176644137,-0.2832524176415414,-0.5266151518601722,-0.8144128231943676,-0.8626900217503843,0.4506759429912973,-0.47305616814624407
13,0.33,-0.15199955577578067,-0.5813922613685537,-0.8110503385476466,-0.8591683732228127,-0.1807762112776923,-0.7784607176644137,-0.2832524176415414,-0.5266151518601722,-0.8144128231943676,-0.8626900217503843,0.3880474348613545,-0.449727993857367
14,0.34,-0.15199955577578067,-0.5813922613685537,-0.8110503385476466,-0.8591683732228127,-0.14155794666289978,-0.7784607176644137,-0.2832524176415414,-0.5266151518601722,-0.8144128231943676,-0.8626900217503843,0.3880474348613545,-0.3587568881111434
15,0.35000000000000003,-0.15199955577578067,-0.5813922613685537,-0.8110503385476466,-0.8591683732228127,0.011444449903234007,-0.76140871407951,-0.2832524176415414,-0.5266151518601722,-0.8144128231943676,-0.8626900217503843,0.3880474348613545,-0.3840057888806633
16,0.36,-0.15199955577578067,-0.5540916985047142,-0.8110503385476466,-0.8591683732228127,-0.02210531691112613,-0.7258722173288755,-0.2832524176415414,-0.5266151518601722,-0.8144128231943676,-0.8626900217503843,0.4506759429912973,-0.3192230013289332
